Interactor1	Interactor2	Interaction
Q9Y287	Q9Y287	R-HSA-976871
P37840	P37840	R-HSA-1247852
P0DJI8	P0DJI8	R-HSA-976898
P06727	P06727	R-HSA-976889
P01160	P01160	R-HSA-976987
P51572	P51572	R-HSA-983323
O95999	O95999	R-HSA-2685702
P05067	P05067	R-HSA-976748
P05067	P05067	R-HSA-976748
P05067	P05067	R-HSA-976748
P61769	P61769	R-HSA-976945
Q13085	29035	R-HSA-8876883
Q13085	Q13085	R-HSA-8876883
29035	O00763	R-HSA-8867341
O00763	O00763	R-HSA-8867341
O00763	29035	R-HSA-8876893
O00763	O00763	R-HSA-8876893
P31415	P31415	R-HSA-2855198
O14958	O14958	R-HSA-2855188
P47710	P47710	R-HSA-5340146
P07498	P07498	R-HSA-5340146
P01258	P01258	R-HSA-976978
P15502	P15502	R-HSA-2514799
P15502	P15502	R-HSA-2514799
P15502	P15502	R-HSA-2514799
P35555	P35555	R-HSA-2514812
P35555	P35555	R-HSA-2514812
P35556	P35556	R-HSA-2514779
P35556	P35556	R-HSA-2514779
Q75N90	Q75N90	R-HSA-2514789
Q75N90	Q75N90	R-HSA-2514789
P02751	P02751	R-HSA-3787944
P02751	P02751	R-HSA-3787944
P02751	P02751	R-HSA-3787944
P02751	P02751	R-HSA-2533900
P02751	P02751	R-HSA-2533900
P02751	P02751	R-HSA-2533900
P02452	P02452	R-HSA-2428940
P08123	P08123	R-HSA-2428940
P08123	P02452	R-HSA-2428940
P08123	P08123	R-HSA-2428940
P08123	P02452	R-HSA-2428940
P08123	P08123	R-HSA-2428940
P02452	P02452	R-HSA-2428940
P02452	P02452	R-HSA-2428940
P08123	P02452	R-HSA-2428940
P02452	P02452	R-HSA-2428940
P08123	P02452	R-HSA-2428940
P08123	P08123	R-HSA-2428940
P08123	P02452	R-HSA-2428940
P08123	P02452	R-HSA-2428940
P08123	P08123	R-HSA-2428940
P08123	P02452	R-HSA-2428940
P08123	P02452	R-HSA-2428940
P02452	P02452	R-HSA-2428940
P02452	P02452	R-HSA-2428940
P08123	P02452	R-HSA-2428940
P08123	P08123	R-HSA-2428940
P08123	P08123	R-HSA-2396055
P08123	P08123	R-HSA-2396055
P08123	P02452	R-HSA-2396055
P02452	P02452	R-HSA-2396055
P08123	P02452	R-HSA-2396055
P02452	P02452	R-HSA-2396055
P02452	P02452	R-HSA-2396055
P08123	P02452	R-HSA-2396055
P08123	P08123	R-HSA-2396055
P08123	P08123	R-HSA-2396055
P02452	P02452	R-HSA-2396055
P02452	P02452	R-HSA-2396055
P08123	P02452	R-HSA-2396055
P08123	P02452	R-HSA-2396055
P08123	P02452	R-HSA-2396055
P08123	P02452	R-HSA-2396055
P02452	P02452	R-HSA-2396055
P08123	P02452	R-HSA-2396055
P08123	P02452	R-HSA-2396055
P08123	P08123	R-HSA-2396055
P08123	P08123	R-HSA-2396055
P02452	P08123	R-HSA-2396311
P08123	P08123	R-HSA-2396311
P02452	P08123	R-HSA-2396311
P08123	P08123	R-HSA-2396311
P08123	P08123	R-HSA-2396311
P02452	P02452	R-HSA-2396311
P02452	P02452	R-HSA-2396311
P02452	P08123	R-HSA-2396311
P02452	P02452	R-HSA-2396311
P08123	P08123	R-HSA-2396311
P02452	P08123	R-HSA-2396311
P02452	P08123	R-HSA-2396311
P02452	P08123	R-HSA-2396311
P08123	P08123	R-HSA-2396311
P02452	P08123	R-HSA-2396311
P02452	P02452	R-HSA-2396311
P02452	P08123	R-HSA-2396311
P08123	P08123	R-HSA-2396311
P02452	P08123	R-HSA-2396311
P02452	P02452	R-HSA-2396311
P02452	P02452	R-HSA-2396311
P08123	P08123	R-HSA-2396360
P02452	P02452	R-HSA-2396360
P02452	P02452	R-HSA-2396360
P08123	P02452	R-HSA-2396360
P02452	P02452	R-HSA-2396360
P08123	P08123	R-HSA-2396360
P08123	P02452	R-HSA-2396360
