pathway_id	pathway_name	genes
R-HSA-166663	Initial triggering of complement	A0A075B6P5,A0A075B6S6,A0A0C4DH25,A0A0C4DH73,A0M8Q6,A2KUC3,A2NJV5,A2NXD2,O00187-1,O00602,O75636,P00736,P01593,P01594,P01597,P01599,P01601,P01602,P01611,P01614,P01615,P01619,P01624,P01699,P01700,P01701,P01703,P01704,P01705,P01706,P01709,P01714,P01715,P01717,P01718,P01721,P01742,P01743,P01762,P01763,P01764,P01766,P01767,P01768,P01772,P01780,P01782,P01814,P01817,P01824,P01825,P01834,P01857,P01859,P01860,P01861,P02745,P02746,P02747,P04211,P04430,P04432,P04433,P06310,P06312,P06315,P06331,P06681,P09871,P0C0L4,P0C0L5,P0CF74,P0CG04,P0DOY2,P0DOY3,P11226,P23083,P48740,P80748,Q15485,Q5NV61,Q5NV62,Q5NV64,Q5NV65,Q5NV66,Q5NV67,Q5NV68,Q5NV69,Q5NV75,Q5NV79,Q5NV80,Q5NV81,Q5NV82,Q5NV83,Q5NV84,Q5NV85,Q5NV86,Q5NV87,Q5NV89,Q5NV90,Q5NV91,Q5NV92,Q6PIL0,Q9BWP8,Q9Y6Z7
R-HSA-173623	Classical antibody-mediated complement activation	A0A075B6P5,A0A075B6S6,A0A0C4DH25,A0A0C4DH73,A0M8Q6,A2KUC3,A2NJV5,A2NXD2,P00736,P01593,P01594,P01597,P01599,P01601,P01602,P01611,P01614,P01615,P01619,P01624,P01699,P01700,P01701,P01703,P01704,P01705,P01706,P01709,P01714,P01715,P01717,P01718,P01721,P01742,P01743,P01762,P01763,P01764,P01766,P01767,P01768,P01772,P01780,P01782,P01814,P01817,P01824,P01825,P01834,P01857,P01859,P01860,P01861,P02741,P02745,P02746,P02747,P04211,P04430,P04432,P04433,P06310,P06312,P06315,P06331,P09871,P0CF74,P0CG04,P0DOY2,P0DOY3,P23083,P80748,Q5NV61,Q5NV62,Q5NV64,Q5NV65,Q5NV66,Q5NV67,Q5NV68,Q5NV69,Q5NV75,Q5NV79,Q5NV80,Q5NV81,Q5NV82,Q5NV83,Q5NV84,Q5NV85,Q5NV86,Q5NV87,Q5NV89,Q5NV90,Q5NV91,Q5NV92,Q6PIL0
R-HSA-198933	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	A0A075B6P5,A0A075B6S6,A0A0A6YYK7,A0A0C4DH25,A0A0C4DH73,A0M8Q6,A2KUC3,A2NJV5,A2NXD2,A6NI73,A8K4G0,O14796,O14931,O15181,O15389,O43699,O43914,O60880,O75019,O75022,O75023,O76036,O95727,O95944,O95971,P01024,P01593,P01594,P01597,P01599,P01601,P01602,P01611,P01614,P01615,P01619,P01624,P01699,P01700,P01701,P01703,P01704,P01705,P01706,P01709,P01714,P01715,P01717,P01718,P01721,P01732,P01733,P01737,P01742,P01743,P01762,P01763,P01764,P01766,P01767,P01768,P01772,P01780,P01782,P01814,P01817,P01824,P01825,P01834,P01848,P01850,P01889,P01893,P02452,P02458,P02461,P03452,P04211,P04234,P04430,P04432,P04433,P04435,P04437,P04439,P04853,P05107,P05362,P05556,P06126,P06310,P06312,P06315,P06331,P06725,P07766,P08123,P08637,P09693,P0CF74,P0CG04,P0DOY2,P0DOY3,P10321,P10966,P12314,P12830,P13164,P13598,P13612,P13747,P14151,P14209,P15151,P15391,P15813,P17693,P19320,P20138,P20273,P20701,P20963-1,P23083,P25942-1,P26010,P26715,P26718,P28906-1,P29016,P29017,P29965,P30511,P31994,P32942,P35247,P40200,P41217,P43626,P43627,P43628,P43629,P43630,P43631,P59901,P60033,P61769,P78310,P80748,Q08708,Q12918,Q13241,Q13477-1,Q14773,Q14954,Q15762,Q29980,Q29983,Q496F6,Q5KU26,Q5NV61,Q5NV62,Q5NV64,Q5NV65,Q5NV66,Q5NV67,Q5NV68,Q5NV69,Q5NV75,Q5NV79,Q5NV80,Q5NV81,Q5NV82,Q5NV83,Q5NV84,Q5NV85,Q5NV86,Q5NV87,Q5NV89,Q5NV90,Q5NV91,Q5NV92,Q5T2D2,Q68D85,Q6GTX8,Q6ISS4,Q6PI73,Q6PIL0,Q6UXB4,Q6UXG3,Q6UXN2,Q6UXZ3,Q86YT9,Q86YW5,Q8IVK1,Q8IYJ0,Q8IYS5,Q8N149,Q8N423,Q8N6C8,Q8NHJ6,Q8NHL6,Q8TD07,Q8TD46,Q8TDQ1,Q92478,Q92692,Q96DU3,Q96E93,Q96LC7,Q96PQ1,Q96RL6,Q99706,Q9BZM4,Q9BZM6,Q9BZZ2,Q9NP99,Q9NQ25,Q9NQX5,Q9NYZ4,Q9NZC2,Q9NZS2,Q9UBK5,Q9UGN4,Q9UHP7,Q9UKJ0,Q9UKJ1,Q9UMD9,Q9UMF0,Q9Y286,Q9Y336
R-HSA-202733	Cell surface interactions at the vascular wall	A0A075B6P5,A0A075B6S6,A0A0C4DH25,A0A0C4DH73,A0M8Q6,A2KUC3,A2NJV5,A2NXD2,O00220,O14763,O75056,P00734,P01137,P01591,P01593,P01594,P01597,P01599,P01601,P01602,P01611,P01614,P01615,P01619,P01624,P01699,P01700,P01701,P01703,P01704,P01705,P01706,P01709,P01714,P01715,P01717,P01718,P01721,P01742,P01743,P01762,P01763,P01764,P01766,P01767,P01768,P01772,P01780,P01782,P01814,P01817,P01824,P01825,P01834,P01871,P01876,P01877,P02452,P02724,P02751,P02776,P04070,P04114,P04211,P04233,P04430,P04432,P04433,P04921,P05107,P05556,P06028,P06241,P06310,P06312,P06315,P06331,P06729,P06731,P07204,P07225,P07948,P08123,P08648,P09326,P09888,P0CF74,P0CG04,P0DOY2,P0DOY3,P10720,P11215,P11296,P11297,P11464,P11465,P12018,P13612,P13688,P14151,P14174,P14209,P15814,P16070,P16109,P16150,P16284,P16422,P16581,P18827,P19214,P19256,P20701,P20702,P23083,P30273,P31431,P31997,P34741,P35052,P40198,P40199,P41732,P57087,P78310,P78324,P78380,P80748,Q00887,Q00888,Q00889,Q04874,Q04875,Q04876,Q04877,Q04878,Q04879,Q04880,Q04881,Q04882,Q04883,Q04884,Q04885,Q05033,Q05034,Q08722,Q12866,Q13046,Q14242,Q14393,Q15238,Q16557,Q5NV61,Q5NV62,Q5NV64,Q5NV65,Q5NV66,Q5NV67,Q5NV68,Q5NV69,Q5NV75,Q5NV79,Q5NV80,Q5NV81,Q5NV82,Q5NV83,Q5NV84,Q5NV85,Q5NV86,Q5NV87,Q5NV89,Q5NV90,Q5NV91,Q5NV92,Q6PIL0,Q76NM5,Q86YT9,Q8N6Q3,Q8TCZ2,Q8WWV6,Q92896,Q96AP7,Q9BX67,Q9BZW8,Q9HCN6,Q9NP99,Q9NRD5,Q9P1W8,Q9U4X0,Q9UBN6,Q9UIB8,Q9UKI3,Q9UNN8,Q9UQ72,Q9UQ74,Q9Y624
R-HSA-2029481	FCGR activation	A0A075B6P5,A0A075B6P5,A0A075B6S6,A0A075B6S6,A0A0C4DH25,A0A0C4DH25,A0A0C4DH73,A0A0C4DH73,A0M8Q6,A0M8Q6,A2KUC3,A2KUC3,A2NJV5,A2NJV5,A2NXD2,A2NXD2,P01593,P01593,P01594,P01594,P01597,P01597,P01599,P01599,P01601,P01601,P01602,P01602,P01611,P01611,P01614,P01614,P01615,P01615,P01619,P01619,P01624,P01624,P01699,P01699,P01700,P01700,P01701,P01701,P01703,P01703,P01704,P01704,P01705,P01705,P01706,P01706,P01709,P01709,P01714,P01714,P01715,P01715,P01717,P01717,P01718,P01718,P01721,P01721,P01742,P01742,P01743,P01743,P01762,P01762,P01763,P01763,P01764,P01764,P01766,P01766,P01767,P01767,P01768,P01768,P01772,P01772,P01780,P01780,P01782,P01782,P01814,P01814,P01817,P01817,P01824,P01824,P01825,P01825,P01834,P01834,P01857,P01857,P01859,P01859,P01860,P01860,P01861,P01861,P04211,P04211,P04430,P04430,P04432,P04432,P04433,P04433,P06241,P06310,P06310,P06312,P06312,P06315,P06315,P06331,P06331,P07947,P07948,P08631,P08637,P08637,P09693,P09693,P09769,P0CF74,P0CF74,P0CG04,P0CG04,P0DOY2,P0DOY2,P0DOY3,P0DOY3,P12314,P12314,P12318,P12318,P12931-1,P20963-1,P20963-1,P23083,P23083,P43405,P43405,P80748,P80748,Q5NV61,Q5NV61,Q5NV62,Q5NV62,Q5NV64,Q5NV64,Q5NV65,Q5NV65,Q5NV66,Q5NV66,Q5NV67,Q5NV67,Q5NV68,Q5NV68,Q5NV69,Q5NV69,Q5NV75,Q5NV75,Q5NV79,Q5NV79,Q5NV80,Q5NV80,Q5NV81,Q5NV81,Q5NV82,Q5NV82,Q5NV83,Q5NV83,Q5NV84,Q5NV84,Q5NV85,Q5NV85,Q5NV86,Q5NV86,Q5NV87,Q5NV87,Q5NV89,Q5NV89,Q5NV90,Q5NV90,Q5NV91,Q5NV91,Q5NV92,Q5NV92,Q6PIL0,Q6PIL0
R-HSA-2029482	Regulation of actin dynamics for phagocytic cup formation	A0A075B6P5,A0A075B6S6,A0A0C4DH25,A0A0C4DH73,A0M8Q6,A2KUC3,A2NJV5,A2NXD2,A6NGB9,A6NGB9,O00159,O00401,O00401,O15143,O15143,O15144,O15144,O15145,O15145,O15511,O15511,O43516,O43516,P00519,P01593,P01594,P01597,P01599,P01601,P01602,P01611,P01614,P01615,P01619,P01624,P01699,P01700,P01701,P01703,P01704,P01705,P01706,P01709,P01714,P01715,P01717,P01718,P01721,P01742,P01743,P01762,P01763,P01764,P01766,P01767,P01768,P01772,P01780,P01782,P01814,P01817,P01824,P01825,P01834,P01857,P01859,P01860,P01861,P04211,P04430,P04432,P04433,P06310,P06312,P06315,P06331,P07900,P08238,P08637,P09693,P0CF74,P0CG04,P0DOY2,P0DOY3,P12314,P12318,P15498,P16333,P16333,P20963-1,P23083,P23528,P27361,P28482,P35240,P35579,P42768,P42768,P43405,P46108,P52735,P53667,P53667,P55160,P55160,P59998,P59998,P60709,P60709,P60953,P60953,P61158,P61158,P61160,P61160,P62993-1,P62993-1,P63000,P63000,P63261,P63261,P80748,Q05397,Q06187,Q13153,Q13459,Q14185,Q5NV61,Q5NV62,Q5NV64,Q5NV65,Q5NV66,Q5NV67,Q5NV68,Q5NV69,Q5NV75,Q5NV79,Q5NV80,Q5NV81,Q5NV82,Q5NV83,Q5NV84,Q5NV85,Q5NV86,Q5NV87,Q5NV89,Q5NV90,Q5NV91,Q5NV92,Q6PIL0,Q7L576,Q7L576,Q8IZP0,Q8IZP0,Q8TF74,Q8TF74,Q8WUW1,Q8WUW1,Q92556,Q92558,Q92558,Q92747,Q92747,Q96F07,Q96F07,Q96JJ3,Q9HD67,Q9NYB9,Q9NYB9,Q9NZQ3,Q9NZQ3,Q9UKW4,Q9UKX2,Q9UPY6,Q9UPY6,Q9UQB8,Q9UQB8,Q9Y2A7,Q9Y2A7,Q9Y4I1,Q9Y6W5,Q9Y6W5
R-HSA-2029485	Role of phospholipids in phagocytosis	A0A075B6P5,A0A075B6S6,A0A0C4DH25,A0A0C4DH73,A0M8Q6,A2KUC3,A2NJV5,A2NXD2,O00459,O14939,O43865,O60733,P01593,P01594,P01597,P01599,P01601,P01602,P01611,P01614,P01615,P01619,P01624,P01699,P01700,P01701,P01703,P01704,P01705,P01706,P01709,P01714,P01715,P01717,P01718,P01721,P01742,P01743,P01762,P01763,P01764,P01766,P01767,P01768,P01772,P01780,P01782,P01814,P01817,P01824,P01825,P01834,P01857,P01859,P01860,P01861,P04211,P04430,P04432,P04433,P06310,P06312,P06315,P06331,P08637,P09693,P0CF74,P0CG04,P0DOY2,P0DOY3,P12314,P12318,P16885,P19174,P19174,P20963-1,P23083,P27986,P42336,P42338,P43405,P80748,Q02156,Q05655,Q13393,Q14571,Q14573,Q14643,Q5NV61,Q5NV62,Q5NV64,Q5NV65,Q5NV66,Q5NV67,Q5NV68,Q5NV69,Q5NV75,Q5NV79,Q5NV80,Q5NV81,Q5NV82,Q5NV83,Q5NV84,Q5NV85,Q5NV86,Q5NV87,Q5NV89,Q5NV90,Q5NV91,Q5NV92,Q5VZY2,Q6PIL0,Q8IV08,Q8NEB5,Q96BZ4
R-HSA-2168880	Scavenging of heme from plasma	A0A075B6P5,A0A075B6S6,A0A0C4DH25,A0A0C4DH73,A0M8Q6,A2KUC3,A2NJV5,A2NXD2,O14791,P00738,P00739,P01591,P01593,P01594,P01597,P01599,P01601,P01602,P01611,P01614,P01615,P01619,P01624,P01699,P01700,P01701,P01703,P01704,P01705,P01706,P01709,P01714,P01715,P01717,P01718,P01721,P01742,P01743,P01762,P01763,P01764,P01766,P01767,P01768,P01772,P01780,P01782,P01814,P01817,P01824,P01825,P01834,P01876,P01877,P02647,P02760,P02768,P02790,P04211,P04430,P04432,P04433,P06310,P06312,P06315,P06331,P0CF74,P0CG04,P0DOY2,P0DOY3,P23083,P68871,P69905,P80748,Q07954,Q5NV61,Q5NV62,Q5NV64,Q5NV65,Q5NV66,Q5NV67,Q5NV68,Q5NV69,Q5NV75,Q5NV79,Q5NV80,Q5NV81,Q5NV82,Q5NV83,Q5NV84,Q5NV85,Q5NV86,Q5NV87,Q5NV89,Q5NV90,Q5NV91,Q5NV92,Q6PIL0,Q86VB7
R-HSA-2454202	Fc epsilon receptor (FCERI) signaling	A0A075B6P5,A0A075B6P5,A0A075B6S6,A0A075B6S6,A0A0C4DH25,A0A0C4DH25,A0A0C4DH73,A0A0C4DH73,A0M8Q6,A0M8Q6,A2KUC3,A2KUC3,A2NJV5,A2NJV5,A2NXD2,A2NXD2,O43561-2,P01593,P01593,P01594,P01594,P01597,P01597,P01599,P01599,P01601,P01601,P01602,P01602,P01611,P01611,P01614,P01614,P01615,P01615,P01619,P01619,P01624,P01624,P01699,P01699,P01700,P01700,P01701,P01701,P01703,P01703,P01704,P01704,P01705,P01705,P01706,P01706,P01709,P01709,P01714,P01714,P01715,P01715,P01717,P01717,P01718,P01718,P01721,P01721,P01742,P01742,P01743,P01743,P01762,P01762,P01763,P01763,P01764,P01764,P01766,P01766,P01767,P01767,P01768,P01768,P01772,P01772,P01780,P01780,P01782,P01782,P01814,P01814,P01817,P01817,P01824,P01824,P01825,P01825,P01834,P01834,P01854,P01854,P04211,P04211,P04430,P04430,P04432,P04432,P04433,P04433,P06310,P06310,P06312,P06312,P06315,P06315,P06331,P06331,P07948,P07948,P0CF74,P0CF74,P0CG04,P0CG04,P0DOY2,P0DOY2,P0DOY3,P0DOY3,P12319,P12319,P23083,P23083,P30273,P30273,P43405,P43405,P80748,P80748,Q01362,Q01362,Q5NV61,Q5NV61,Q5NV62,Q5NV62,Q5NV64,Q5NV64,Q5NV65,Q5NV65,Q5NV66,Q5NV66,Q5NV67,Q5NV67,Q5NV68,Q5NV68,Q5NV69,Q5NV69,Q5NV75,Q5NV75,Q5NV79,Q5NV79,Q5NV80,Q5NV80,Q5NV81,Q5NV81,Q5NV82,Q5NV82,Q5NV83,Q5NV83,Q5NV84,Q5NV84,Q5NV85,Q5NV85,Q5NV86,Q5NV86,Q5NV87,Q5NV87,Q5NV89,Q5NV89,Q5NV90,Q5NV90,Q5NV91,Q5NV91,Q5NV92,Q5NV92,Q6PIL0,Q6PIL0
R-HSA-2730905	Role of LAT2/NTAL/LAB on calcium mobilization	A0A075B6P5,A0A075B6P5,A0A075B6S6,A0A075B6S6,A0A0C4DH25,A0A0C4DH25,A0A0C4DH73,A0A0C4DH73,A0M8Q6,A0M8Q6,A2KUC3,A2KUC3,A2NJV5,A2NJV5,A2NXD2,A2NXD2,O00459,O15530,P01593,P01593,P01594,P01594,P01597,P01597,P01599,P01599,P01601,P01601,P01602,P01602,P01611,P01611,P01614,P01614,P01615,P01615,P01619,P01619,P01624,P01624,P01699,P01699,P01700,P01700,P01701,P01701,P01703,P01703,P01704,P01704,P01705,P01705,P01706,P01706,P01709,P01709,P01714,P01714,P01715,P01715,P01717,P01717,P01718,P01718,P01721,P01721,P01742,P01742,P01743,P01743,P01762,P01762,P01763,P01763,P01764,P01764,P01766,P01766,P01767,P01767,P01768,P01768,P01772,P01772,P01780,P01780,P01782,P01782,P01814,P01814,P01817,P01817,P01824,P01824,P01825,P01825,P01834,P01834,P01854,P01854,P04211,P04211,P04430,P04430,P04432,P04432,P04433,P04433,P06241,P06310,P06310,P06312,P06312,P06315,P06315,P06331,P06331,P07948,P07948,P0CF74,P0CF74,P0CG04,P0CG04,P0DOY2,P0DOY2,P0DOY3,P0DOY3,P12319,P12319,P23083,P23083,P27986,P29353-2,P29353-2,P30273,P30273,P42336,P42338,P43405,P43405,P62993-1,P62993-1,P80748,P80748,Q01362,Q01362,Q07889,Q07889,Q5NV61,Q5NV61,Q5NV62,Q5NV62,Q5NV64,Q5NV64,Q5NV65,Q5NV65,Q5NV66,Q5NV66,Q5NV67,Q5NV67,Q5NV68,Q5NV68,Q5NV69,Q5NV69,Q5NV75,Q5NV75,Q5NV79,Q5NV79,Q5NV80,Q5NV80,Q5NV81,Q5NV81,Q5NV82,Q5NV82,Q5NV83,Q5NV83,Q5NV84,Q5NV84,Q5NV85,Q5NV85,Q5NV86,Q5NV86,Q5NV87,Q5NV87,Q5NV89,Q5NV89,Q5NV90,Q5NV90,Q5NV91,Q5NV91,Q5NV92,Q5NV92,Q6PIL0,Q6PIL0,Q9GZY6,Q9GZY6,Q9UQC2,Q9UQC2
